"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://wealthsimplebonus.ca/","7","How to Claim Your $25 Bonus","27","Can You Still Use a Referral Code?","34","Indexable",""
"https://wealthsimplebonus.ca/contact","4","How We Can Help","15","Common Questions We Address","27","Indexable",""
"https://wealthsimplebonus.ca/terms","11","1. Acceptance of Terms","22","2. Website Purpose","18","Indexable",""
"https://wealthsimplebonus.ca/fr","6","Comment obtenir votre prime de 25 $","35","Pouvez-vous encore utiliser un code de parrainage?","50","Indexable",""
"https://wealthsimplebonus.ca/blog/referral-bonus-terms-conditions","12","Eligibility Requirements","24","Funding Requirements","20","Indexable",""
"https://wealthsimplebonus.ca/blog/wealthsimple-referral-code-2025","17","Current Wealthsimple Referral Code (December 2025)","50","How the Wealthsimple Referral Program Works","43","Indexable",""
"https://wealthsimplebonus.ca/blog/wealthsimple-crypto-vs-newton-vs-shakepay","9","Quick Comparison Overview","25","Fee Structure Analysis","22","Indexable",""
"https://wealthsimplebonus.ca/blog","6","Wealthsimple Crypto vs Newton vs Shakepay (2026 Review)","55","Wealthsimple Referral Code 2026: Get $25 Bonus (Ultimate Guide)","63","Indexable",""
"https://wealthsimplebonus.ca/privacy","9","1. Introduction","15","2. Information We Collect","25","Indexable",""
"https://wealthsimplebonus.ca/blog/add-referral-code-after-signup","12","Can You Add a Referral Code After Signing Up?","45","Scenario 1: You Haven’t Funded Your Account Yet","47","Indexable",""
"https://wealthsimplebonus.ca/how-it-works","3","Detailed Setup Guide","20","Pro Tips","8","Indexable",""
"https://wealthsimplebonus.ca/blog/wealthsimple-cash-account-review","13","Current Interest Rates (December 2025)","38","The Wealthsimple Card","21","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/wealthsimple-crypto-vs-newton-vs-shakepay","11","Aperçu de comparaison rapide","28","Wealthsimple Crypto : L’écosystème tout-en-un","45","Indexable",""
"https://wealthsimplebonus.ca/category/comparisons","2","Wealthsimple Crypto vs Newton vs Shakepay (2026 Review)","55","Wealthsimple vs Questrade Fees 2026: Complete Comparison","56","Indexable",""
"https://wealthsimplebonus.ca/blog/wealthsimple-vs-questrade-2025","16","Quick Comparison Overview","25","Trading Fees: Both Are Now Commission-Free","42","Indexable",""
"https://wealthsimplebonus.ca/tag/wealthsimple-promo-code","2","Wealthsimple Referral Code 2026: Get $25 Bonus (Ultimate Guide)","63","Wealthsimple Promo Code 2026: Best Deals & Bonuses (Guide)","58","Indexable",""
"https://wealthsimplebonus.ca/blog/core-vs-premium-vs-generation","11","Quick Tier Overview","19","Core Tier ($0 - $99,999)","24","Indexable",""
"https://wealthsimplebonus.ca/tag/wealthsimple-bonus","2","Wealthsimple Referral Code 2026: Get $25 Bonus (Ultimate Guide)","63","How to Add Wealthsimple Referral Code After Signing Up (2026 Guide)","67","Indexable",""
"https://wealthsimplebonus.ca/tag/wealthsimple-referral-code","2","Wealthsimple Referral Code 2026: Get $25 Bonus (Ultimate Guide)","63","How to Add Wealthsimple Referral Code After Signing Up (2026 Guide)","67","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/code-de-parrainage-wealthsimple-2025","15","Code de parrainage Wealthsimple actuel (décembre 2025)","54","Comment fonctionne le programme de parrainage Wealthsimple","58","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/conditions-prime-parrainage","11","Exigences d’admissibilité","25","Exigences d’approvisionnement","29","Indexable",""
"https://wealthsimplebonus.ca/category/referral-codes","5","Wealthsimple Referral Code 2026: Get $25 Bonus (Ultimate Guide)","63","How to Add Wealthsimple Referral Code After Signing Up (2026 Guide)","67","Indexable",""
"https://wealthsimplebonus.ca/blog/promo-code-vs-referral-code","17","Quick Comparison: Promo Code vs Referral Code","45","What Is a Wealthsimple Promo Code?","34","Indexable",""
"https://wealthsimplebonus.ca/blog/referral-ladder-challenge","12","What Is the Referral Ladder Challenge?","38","The Complete Referrer Bonus Tiers","33","Indexable",""
"https://wealthsimplebonus.ca/fr/confidentialite","9","1. Introduction","15","2. Informations que nous recueillons","36","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue","6","Wealthsimple Crypto vs Newton vs Shakepay (Avis 2026)","53","Wealthsimple vs Questrade 2026 : Comparatif & Frais","51","Indexable",""
"https://wealthsimplebonus.ca/fr/blogue/ajouter-code-parrainage-apres-inscription","9","Pouvez-vous ajouter un code de parrainage après l’inscription ?","63","Scénario 1 : Vous n’avez pas encore approvisionné votre compte","62","Indexable",""
